"","player","role","mode","series_played","win_rate","kd"
"86","Moose","SMG","Search & Destroy",38,56.4,1.01869158878505
"87","Tommey","SMG","Hardpoint",49,56.2,0.995928338762215
"88","Slasher","AR","Search & Destroy",81,56.1,1.24285714285714
"89","Aches","AR","Capture The Flag",67,56,1.05176470588235
"90","Apathy","SMG","Capture The Flag",67,56,1.04647560030984
"91","Assault","AR","Hardpoint",74,56,1.11399662731872
"92","Joshh","SMG","Capture The Flag",59,56,0.980338983050847
"93","Slasher","AR","Hardpoint",81,56,1.18484848484848
"94","Zed","SMG","Hardpoint",37,55.7,0.996894409937888
"95","Joee","SMG","Capture The Flag",71,55.7,0.821064552661382
"96","Rated","AR","Capture The Flag",71,55.7,1.03601833660773
"97","Zer0","SMG","Capture The Flag",71,55.7,1.00992555831266
"98","Peatie","SMG","Search & Destroy",13,55.6,0.902439024390244
"99","Joshh","SMG","Hardpoint",59,55.4,0.883503401360544
"100","Tommey","SMG","Capture The Flag",49,55.4,1.02681992337165
"101","Arcitys","AR","Hardpoint",75,55.3,1.13073463268366
"102","Clayster","AR","Hardpoint",75,55.3,1.06257046223224
"103","Prestinni","SMG","Hardpoint",75,55.3,0.928336466165414
"104","Buzzo","AR","Search & Destroy",57,55.1,0.909926470588235
"105","Denz","SMG","Search & Destroy",57,55.1,1.18725868725869
"106","Fighta","SMG","Search & Destroy",57,55.1,0.942342342342342
"107","Shockz","SMG","Search & Destroy",57,55.1,1.14634146341463
"108","Bevils","SMG","Search & Destroy",25,54.5,0.839622641509434
"109","Proto","SMG","Capture The Flag",21,54.5,0.958230958230958
"110","Accuracy","AR","Search & Destroy",80,54.5,1.18057455540356
"111","Kenny","SMG","Search & Destroy",80,54.5,1.09731113956466
"112","Fero","SMG","Search & Destroy",69,54.3,1.18449612403101
"113","Classic","SMG","Capture The Flag",68,54.1,0.908440629470672
"114","Huke","SMG","Capture The Flag",68,54.1,1.07739463601533
"115","Alex","SMG","Capture The Flag",38,53.8,1.04447632711621
"116","Bance","SMG","Hardpoint",65,53.8,0.96773220747889
"117","Decemate","SMG","Search & Destroy",65,53.8,1.13916500994036
"118","MadCat","AR","Hardpoint",65,53.8,1.04680242943909
"119","Attach","SMG","Hardpoint",84,53.7,1.03952158086323
"120","Priestah","SMG","Hardpoint",84,53.7,1.0251256281407
"121","Replays","AR","Hardpoint",84,53.7,1.01555676855895
"122","Zoomaa","SMG","Hardpoint",84,53.7,1.0130777903044
"123","Jurd","SMG","Capture The Flag",61,53.6,1
"124","Bance","SMG","Capture The Flag",65,53.4,0.895048041389505
"125","MadCat","AR","Capture The Flag",65,53.4,1.1486013986014
"126","Classic","SMG","Hardpoint",68,52.8,0.937273823884198
"127","Huke","SMG","Hardpoint",68,52.8,1.07120646766169
"128","Chino","AR","Search & Destroy",70,52.8,1.03397341211226
"129","Jurd","SMG","Hardpoint",61,52.7,0.990816326530612
"130","Theory","SMG","Capture The Flag",52,52.7,0.805699481865285
"131","Octane","AR","Search & Destroy",69,52.7,1.16058394160584
"132","QwiKeR","SMG","Hardpoint",12,52.4,0.901303538175047
"133","Assault","AR","Search & Destroy",74,52,1.11202635914333
"134","Temp","SMG","Search & Destroy",70,52,0.979133226324238
"135","Chino","AR","Capture The Flag",70,51.9,0.986878453038674
"136","Ricky","AR","Search & Destroy",55,51.8,0.966517857142857
"137","Alex","SMG","Hardpoint",38,51.6,0.988202247191011
"138","Goonjar","AR","Capture The Flag",26,51.6,1.02076124567474
"139","Royalty","SMG","Capture The Flag",26,51.6,0.949838187702265
"140","Xotic","SMG","Capture The Flag",26,51.6,1.00346620450607
"141","Seany","SMG","Hardpoint",63,51.2,0.933174933174933
"142","Wuskin","AR","Hardpoint",63,51.2,1.09862716763006
"143","Formal","AR","Search & Destroy",70,51,1.07592891760905
"144","Arcitys","AR","Search & Destroy",75,50.4,1.00970873786408
"145","Clayster","AR","Search & Destroy",75,50.4,1.11869031377899
"146","Prestinni","SMG","Search & Destroy",75,50.4,0.920595533498759
"147","Abezy","SMG","Search & Destroy",20,50,1.31055900621118
"148","Chain","SMG","Capture The Flag",6,50,0.862595419847328
"149","Chain","SMG","Hardpoint",6,50,0.86864406779661
"150","Denza","SMG","Capture The Flag",8,50,0.901234567901235
"151","Denza","SMG","Hardpoint",8,50,1.00332225913621
"152","Diabolic","SMG","Search & Destroy",20,50,0.886792452830189
"153","Maple","AR","Capture The Flag",6,50,0.876106194690266
"154","Maple","AR","Hardpoint",6,50,0.9
"155","Maux","AR","Search & Destroy",20,50,0.938461538461538
"156","Phantomz","AR","Capture The Flag",8,50,1.25384615384615
"157","Sender","AR","Search & Destroy",20,50,0.748571428571429
"158","Study","SMG","Hardpoint",13,50,0.950266429840142
"159","Zed","SMG","Capture The Flag",37,50,0.975920679886686
"160","Silly","SMG","Search & Destroy",76,49.5,0.911323328785812
"161","Enable","SMG","Search & Destroy",73,49,0.797822706065319
"162","Censor","SMG","Capture The Flag",41,48.9,0.807200929152149
"163","Decemate","SMG","Hardpoint",65,48.6,1.00145296040683
"164","Nameless","SMG","Capture The Flag",33,48.6,0.856466876971609
"165","Classic","SMG","Search & Destroy",68,48.5,0.867313915857605
"166","Huke","SMG","Search & Destroy",68,48.5,0.97444089456869
"167","Abezy","SMG","Hardpoint",19,48.4,0.989247311827957
"168","Diabolic","SMG","Hardpoint",19,48.4,0.936026936026936
"169","GodRx","SMG","Search & Destroy",24,48.4,1.02985074626866
"170","Pandur","SMG","Search & Destroy",24,48.4,1.04545454545455
"171","Sender","AR","Hardpoint",19,48.4,0.896073903002309
"172","Karma","SMG","Search & Destroy",42,48.3,0.901554404145078
"173","Peatie","SMG","Hardpoint",13,48,0.889645776566757
"174","Felony","SMG","Search & Destroy",54,47.9,0.933333333333333
"175","Accuracy","AR","Capture The Flag",80,47.8,1.05811138014528
"176","Kenny","SMG","Capture The Flag",80,47.8,1.06996381182147
"177","Enable","SMG","Capture The Flag",73,47.4,1.04864864864865
"178","Moose","SMG","Hardpoint",37,47.4,0.926304464766003
"179","Parasite","AR","Capture The Flag",29,46.9,1.08971962616822
